pair_swaps_datetime,mev_vol,non_mev_vol
2021-08-13,-1556905.2149131752,367821.0809756204
2021-08-14,-2460471.070728665,626370.4963242493
2021-08-15,-247012.4483915834,433790.72003131197
2021-08-16,-1313033.1060463057,121963.13948634919
2021-08-17,219252.6490804074,-1135758.0053850275
2021-08-18,1590418.8237586226,-345565.97296686517
2021-08-19,1023848.0502254867,-86065.32673814849
2021-08-20,-937317.1228552161,122631.86660136434
2021-08-21,-619934.2908103707,131610.65419693122
2021-08-22,1463795.570116022,-325938.6693465332
2021-08-23,1514769.6752615357,-405012.45047736506
2021-08-24,-678287.4612488599,332145.2981687018
2021-08-25,379703.6028517089,-38329.9025143649
2021-08-26,1709842.9239072232,-635998.8730568242
2021-08-27,341728.7252504691,-2642.4244681498094
2021-08-28,3497.3774051137457,194523.3872010502
2021-08-29,568080.3424830727,-286862.281533749
2021-08-30,-1021132.8246352541,-124410.15614685287
2021-08-31,-904549.2552026932,72829.02172070989
2021-09-01,-188175.5270142079,497409.93610879726
2021-09-02,243839.4201581161,-197632.4900599798
2021-09-03,1149015.2575129922,-519561.281084833
2021-09-04,-1071175.2469476832,211739.29779023922
2021-09-05,791261.7749059094,-116673.08281740616
2021-09-06,1940496.2910102934,-683390.0934048899
2021-09-07,-600586.4674070273,242645.55772773005
2021-09-08,1555252.974032868,-245753.1825626472
2021-09-09,792172.6983952391,60131.18400593089
2021-09-10,11969.785327151043,928781.6747388487
2021-09-11,45507.609324687815,637334.9564240177
2021-09-12,2625255.0227001985,-557190.4471437952
2021-09-13,-424040.5559526694,-533012.6157957845
2021-09-14,1088762.7241194346,-26875.640252787038
2021-09-15,1202447.3996554785,-1070721.9552385258
2021-09-16,2654709.6191909695,350508.8759347118
2021-09-17,-424522.39921101875,777525.006731474
2021-09-18,157391.67021389166,-19831.28554328675
2021-09-19,1256468.8597382063,-339027.6468975637
2021-09-20,-852806.1890988086,-204440.72559644678
2021-09-21,3951614.6133765723,-16740.28534453128
2021-09-22,712514.1679477736,595322.3623758354
2021-09-23,-1000893.9170595192,664370.4201210423
2021-09-24,-4009316.812005099,2196390.5991544523
2021-09-25,-729799.2015297898,121233.97812794083
2021-09-26,381098.301432849,599552.1144530054
2021-09-27,3782211.2329565343,-626819.6101724813
2021-09-28,-28034.01296511519,122827.78528321268
2021-09-29,3232120.1330746454,356302.4026386762
2021-09-30,3446867.9159883684,-1164528.28923286
2021-10-01,-2011243.362077132,887366.3125551465
2021-10-02,694726.3360813049,921607.3766001582
2021-10-03,4698973.0227638865,428625.6674684021
2021-10-04,5258552.871417814,-3160921.7288929936
2021-10-05,879224.3829192932,-196157.7775034286
2021-10-06,-7625794.762411143,426795.89414209186
2021-10-07,5086458.380916305,-1942027.7127810884
2021-10-08,3072065.6317961058,-783483.6782630853
2021-10-09,5067365.369162944,246213.94464450623
2021-10-10,8706898.73593599,-2362490.5754497037
2021-10-11,-1218706.0444298799,-935929.9083414798
2021-10-12,11802481.516194295,-1061620.957923841
2021-10-13,5419260.448166583,2108177.712039135
2021-10-14,-19522560.123173982,680131.2277782329
2021-10-15,11180549.22566785,-1103172.4559654444
2021-10-16,-6383652.577793848,140870.60722313583
2021-10-17,-17759686.72510147,1785177.1718519137
2021-10-18,12250739.537849257,-3110079.739418569
2021-10-19,-1737333.312375017,159473.29325707068
2021-10-20,6187368.463432355,865643.150914022
2021-10-21,-4295638.916770032,54078.73352083361
2021-10-22,5691757.232309426,743186.96995456
2021-10-23,12072631.475116497,-30663.047781494846
2021-10-24,6366990.1749690315,144048.90347337144
2021-10-25,5395661.349852038,2687057.9388846084
2021-10-26,-12660622.645393377,504317.2863222537
2021-10-27,1762259.5471222615,-556377.5023892088
2021-10-28,6936005.978527432,575667.6371921932
2021-10-29,-2606052.509111623,1821610.8012823465
2021-10-30,-4572983.259975857,-261319.18038016188
2021-10-31,-8142092.095320576,590914.4933143951
2021-11-01,2686372.0858867136,-1603696.2402553298
2021-11-02,2937955.74422157,321662.15730154206
2021-11-03,-5834265.819510562,-402861.95439318777
2021-11-04,-7339863.898571252,365739.3506815031
2021-11-05,-5871430.6864348315,-1903136.1734676787
2021-11-06,-9731071.692407176,1563377.8601664577
2021-11-07,7573254.41409276,672096.252414306
2021-11-08,4680142.053624425,-866653.7854550395
2021-11-09,-5925429.8707137825,936707.692259271
2021-11-10,-4248930.433755232,1264500.668620804
2021-11-11,2146936.8633611607,-252260.43172869302
2021-11-12,-4631662.658573033,-278176.4155383635
2021-11-13,-826258.9665962312,722636.468261581
2021-11-14,-2757547.952568995,1417260.8479170278
2021-11-15,-7028438.685856329,-1227364.2345518488
2021-11-16,-14699096.264263965,855902.6591973335
2021-11-17,4920163.276753403,6095585.670933964
2021-11-18,-9155050.964556815,-977246.9044718988
2021-11-19,5824922.778081185,3534594.9765053303
2021-11-20,6084927.573561542,768581.4447659426
2021-11-21,19360679.54281475,5193354.694563644
2021-11-22,-2691793.78987213,-327605.5454046292
2021-11-23,-5301102.747837251,-1440009.3823122038
2021-11-24,386449.53329764993,1083297.5086415326
2021-11-25,-25895647.98164846,3946303.0425897636
2021-11-26,-15411875.08611577,1508133.625600484
2021-11-27,-3062425.4147900795,1830729.7251120787
2021-11-28,1378765.6905543685,2308296.8084829273
2021-11-29,11861663.436714055,1190681.268031415
2021-11-30,-4287796.204192673,2979495.6585169896
2021-12-01,-16162538.479197398,2487074.802590828
2021-12-02,-3737568.7481306754,2071887.8891111806
2021-12-03,-15140693.323576119,-9937186.069318244
2021-12-04,7824920.881278323,2598003.2912032288
2021-12-05,-18188225.599568605,682273.6271599099
2021-12-06,-241360.31267853588,-105898.5047359349
2021-12-07,-4743607.146194586,1467637.993971414
2021-12-08,-15476341.122505702,4786347.207443179
2021-12-09,7059456.992255465,3051066.1668838
2021-12-10,-12903318.367125819,-227676.20339516737
2021-12-11,-9283510.844248567,1652547.6827908026
2021-12-12,5533901.504947956,3447495.9302599877
2021-12-13,-9806908.356494341,1353094.591565461
2021-12-14,-10527032.66193265,1232260.7409602446
2021-12-15,-844896.3554109142,510624.6376445455
2021-12-16,-3010701.7106656856,-183138.83937349505
2021-12-17,-22745851.912273906,-5313082.465865799
2021-12-18,15832950.694697177,2330596.184641627
2021-12-19,14818414.212085042,3858271.0324283205
2021-12-20,5969721.850925705,3559174.3305362025
2021-12-21,925692.0295478671,915264.2423289336
2021-12-22,-5855616.100756417,175656.38287141715
2021-12-23,-1805473.8726771066,978479.8883937463
2021-12-24,-5514009.392113708,-540874.2559746461
2021-12-25,-4214124.664883182,-897146.2344156952
2021-12-26,-1582835.2233783642,-1857808.2278100685
2021-12-27,-591862.8251726174,-1729894.836269184
2021-12-28,-2283628.1598513634,-1488506.3231769365
2021-12-29,-4592823.474368302,-1743590.450529933
2021-12-30,-4158943.4659540076,-845440.3221807862
2021-12-31,-4639947.35550107,-44530.13234858684
2022-01-01,-197647.58284231147,608910.5416344738
2022-01-02,10603717.835915904,-1628058.2558708836
2022-01-03,-1052515.434646639,-550996.0252115058
2022-01-04,2737384.025734332,-120311.37864734247
2022-01-05,-5992202.461592449,1706759.549629221
2022-01-06,-6297480.1022312045,365560.9638405216
2022-01-07,-1985007.657949405,-1290641.2390260003
2022-01-08,-4049714.992116702,-22493.408956890547
2022-01-09,-2367984.0494893976,-808445.2731369887
2022-01-10,-20042412.224876236,-3080523.382455649
2022-01-11,773208.4493019229,-331667.5008102976
2022-01-12,7051339.11849167,1796051.1203892243
2022-01-13,-2143094.676185796,956746.7177765421
2022-01-14,-3078745.540603925,-454751.8987123901
2022-01-15,-7351767.36615859,340125.7759078769
2022-01-16,-12367481.564851264,-5960790.356400643
2022-01-17,-1260806.4914437933,-651928.4729221925
2022-01-18,855008.7247994568,-1545280.0851831397
2022-01-19,-3172556.032830865,-280290.37967197207
2022-01-20,-5284781.747349178,-111727.18416124031
2022-01-21,-9270279.92725434,-295175.500994834
2022-01-22,-6635161.042652478,-312061.5253820719
2022-01-23,-474495.59084480634,174304.5522400414
2022-01-24,2302994.658721688,-230847.5980996117
2022-01-25,-1617255.5242070842,532824.5911226311
2022-01-26,-158178.03326221212,-569972.9431544179
2022-01-27,-2102447.239850398,117777.28857510704
2022-01-28,-326397.43570204056,-651638.0718682843
2022-01-29,27485.829263866315,180902.49265184547
2022-01-30,-1439767.4407006444,-229973.7195145048
2022-01-31,1227723.8021360193,101489.03861515556
2022-02-01,2430953.089194851,-638988.6700675056
2022-02-02,-1362192.318903698,-30576.063793958263
2022-02-03,-422112.6465230332,-135889.31527503056
2022-02-04,2567247.1433567996,-623446.6044606763
2022-02-05,1183641.363253698,-90457.4020054769
2022-02-06,-1670017.2886007994,228985.1139992568
2022-02-07,-466529.9775360342,340453.93107993563
2022-02-08,252067.4559418615,2018.732991988209
2022-02-09,5275454.584844375,-691702.6294295143
2022-02-10,-805380.1570677957,772129.1182796755
2022-02-11,-2016042.838935569,856664.5602585129
2022-02-12,-971836.0055518447,259898.5144379899
2022-02-13,-1501806.6478108717,23084.06699121948
2022-02-14,596076.7613051174,-141874.80586523548
2022-02-15,1070756.4435842906,-494404.54907223594
2022-02-16,-1932173.92828898,266286.9670534007
2022-02-17,-1870843.9971458982,899963.6638628349
2022-02-18,-802741.8602262351,-173085.17794719583
2022-02-19,-3496030.6029407238,642750.1066829406
2022-02-20,51777.198641826864,97510.45159058091
2022-02-21,-2393523.616595737,502355.3561995079
2022-02-22,-105270.41286096442,7352.5134458666935
2022-02-23,-4069660.816127304,800819.394312111
2022-02-24,-1565172.2826592934,150723.5824267979
2022-02-25,-1820604.8030630662,753428.57345182
2022-02-26,-624703.2084089512,125585.43455979576
2022-02-27,-1857863.1515896064,400183.8966762912
2022-02-28,-1666928.266189209,547764.7627725913
2022-03-01,-14353.227024850872,-200569.71913938128
2022-03-02,-401969.40309734124,97463.75641954264
