liquidates_datetime,liquidates_amountUSD
2022-08-16,8143.833853368227
2022-08-17,1239.143745724228
2022-08-19,1371.271966337867
2022-08-20,1326.4652650971823
2022-08-21,731.6541587671908
2022-08-22,869.2079034007896
2022-08-23,11747.296348542972
2022-08-26,3987.9753875150805
2022-08-27,1317.1644104955312
2022-08-28,150.52686957815612
2022-09-03,182.03611265224396
2022-09-05,2308.773615480789
2022-09-06,9989.116235620517
2022-09-07,4589.9440736392435
2022-09-10,188.2460769418172
2022-09-12,645.1763443782605
2022-09-13,3451.6869736460903
2022-09-14,2769.121782724559
2022-09-15,25953.60313562878
2022-09-16,1582.11022479018
2022-09-17,865.8747398716192
2022-09-18,10688.12611480517
2022-09-19,705.835439498007
2022-09-20,2059.2871144235046
2022-09-21,415.09671104713294
2022-09-24,770.9903604072359
2022-10-02,172.63480398972382
2022-10-07,96.52148105392132
2022-10-13,10448.773210411622
2022-10-18,4661.119007779887
2022-10-22,805.1890871575841
